"","title","description","contributor","author","publisher"
"167","THE INSTITUTE","Children with special talents are abducted and sequestered in an institution where the sinister staff seeks to extract their gifts through harsh methods.","by Stephen King","Stephen King","Scribner"
"168","WHEN YOU SEE ME","D.D. Warren and Flora Dane join the F.B.I. agent Kimberly Quincy’s taskforce.","by Lisa Gardner","Lisa Gardner","Dutton"
"169","THE MUSEUM OF DESIRE","The 35th book in the Alex Delaware series. Four unrelated victims are found slaughtered in a limousine.","by Jonathan Kellerman","Jonathan Kellerman","Ballantine"
"170","THE GIRL WITH THE LOUDING VOICE","A 14-year-old Nigerian girl, who is sold as a wife then as a servant, resolves to speak for herself and others.","by Abi Daré","Abi Daré","Dutton"
"171","LONG BRIGHT RIVER","Mickey risks her job with the Philadelphia police force by going after a murderer and searching for her missing sister.","by Liz Moore","Liz Moore","Riverhead"
"172","MORAL COMPASS","Shortly after Saint Ambrose Prep goes co-ed, a student is attacked and the community falls apart.","by Danielle Steel","Danielle Steel","Delacorte"
"173","A MINUTE TO MIDNIGHT","When Atlee Pine returns to her hometown to investigate her sister’s kidnapping from 30 years ago, she winds up tracking a potential serial killer.","by David Baldacci","David Baldacci","Grand Central"
"174","AGENCY","Ainsley Lowbeer can see alternate outcomes for Verity Jane and her digital assistant, who lived in the previous century.","by William Gibson","William Gibson","Berkley"
"175","OLIVE, AGAIN","In a follow-up to the Pulitzer Prize-winning novel “Olive Kitteridge,” new relationships, including a second marriage, are encountered in a seaside town in Maine.","by Elizabeth Strout","Elizabeth Strout","Random House"
"176","BLUE MOON","Jack Reacher gets caught up in a turf war between Ukrainian and Albanian gangs.","by Lee Child","Lee Child","Delacorte"
"177","CRISS CROSS","The 27th book in the Alex Cross series. Copycat crimes make the detective question whether an innocent man was executed.","by James Patterson","James Patterson","Little, Brown"
"178","TREASON","The 52nd book in the Stone Barrington series. Stone is asked to expose a double agent in the State Department.","by Stuart Woods","Stuart Woods","Putnam"
"179","THE WATER DANCER","A young man who was gifted with a mysterious power becomes part of a war between slavers and the enslaved.","by Ta-Nehisi Coates","Ta-Nehisi Coates","One World"
"180","THE TESTAMENTS","In a sequel to “The Handmaid’s Tale,” old secrets bring three women together as the Republic of Gilead’s theocratic regime shows signs of decay.","by Margaret Atwood","Margaret Atwood","Nan A. Talese/Doubleday"
"181","THE STARLESS SEA","Zachary Ezra Rawlins fights to save a labyrinthine underground repository of stories.","by Erin Morgenstern","Erin Morgenstern","Doubleday"
"182","TWISTED TWENTY-SIX","The 26th book in the Stephanie Plum series. A New Jersey gangster’s associates go after a bounty hunter’s widowed grandmother.","by Janet Evanovich","Janet Evanovich","Putnam"
"183","TOM CLANCY: CODE OF HONOR","President Jack Ryan learns of a plot against America when he tries to help an old friend who has been arrested in Indonesia.","by Marc Cameron","Marc Cameron","Putnam"
"184","THE RISE OF MAGICKS","The third book in the Chronicles of the One series. Fallon Swift goes up against an old foe.","by Nora Roberts","Nora Roberts","St. Martin's"
"185","SPY","Alexandra Wickham, an espionage agent during World War II, must keep her secret hidden into the Cold War.","by Danielle Steel","Danielle Steel","Delacorte"
"186","THE NIGHT FIRE","Harry Bosch and Renée Ballard return to take up a case that held the attention of Bosch’s mentor.","by Michael Connelly","Michael Connelly","Little, Brown"
"187","THE 19TH CHRISTMAS","In the 19th installment of the Women's Murder Club series, detective Lindsay Boxer and company take on a fearsome criminal known only as ""Loman.""","by James Patterson and Maxine Paetro","James Patterson and Maxine Paetro","Little, Brown"
"188","MICHAEL CRICHTON: THE ANDROMEDA EVOLUTION","A team of experts is assembled to stop an evolving and potentially apocalyptic microbe.","by Daniel H. Wilson","Daniel H Wilson","Harper"
"189","NOTHING TO SEE HERE","Madison enlists her former boarding school roommate to look after her twin stepchildren, who burst into flames when agitated.","by Kevin Wilson","Kevin Wilson","Ecco"
"190","THE FAMILY UPSTAIRS","Libby Jones learns the identity of her parents and inherits a London mansion, but this comes with a mystery of multiple murders.","by Lisa Jewell","Lisa Jewell","Atria"
"191","NOEL STREET","A former Vietnam War prisoner of war may gift a single mother with release to her secret pain in Mistletoe, Utah.","by Richard Paul Evans","Richard Paul Evans","Gallery"
"192","KISS THE GIRLS AND MAKE THEM CRY","An investigative journalist seeks to uncover sexual misconduct at a television news network.","by Mary Higgins Clark","Mary Higgins Clark","Simon & Schuster"
"193","FINAL OPTION","The 14th book of the Oregon Files series. Juan Cabrillo’s enemy has replicated a state-of-the-art ship.","by Clive Cussler and Boyd Morrison","Clive Cussler and Boyd Morrison","Putnam"
"194","FIND ME","Years after the events of “Call Me by Your Name,” Elio has become a classically trained pianist in Paris while Oliver is a New England college professor with a family.","by André Aciman","André Aciman","Farrar, Straus & Giroux"
"195","THE LOST CAUSES OF BLEAK CREEK","Two high school freshmen dig into the dark underpinnings of their hometown and a local reform school in North Carolina.","by Rhett McLaughlin and Link Neal with Lance Rubin","Rhett McLaughlin and Link Neal with Lance Rubin","Crown"
"196","THE DESERTER","Two members of the Criminal Investigation Division must bring back a Delta Force soldier who disappeared.","by Nelson DeMille and Alex DeMille","Nelson DeMille and Alex DeMille","Simon & Schuster"
"197","NINTH HOUSE","After mysteriously surviving a multiple homicide, Galaxy Stern comes face to face with dark magic, murder and more at Yale University.","by Leigh Bardugo","Leigh Bardugo","Flatiron"
"198","AGENT RUNNING IN THE FIELD","A veteran of Britain’s Secret Intelligence Service, who is assigned to command a lesser band of spies, hatches a covert operation.","by John le Carré","John le Carré","Viking"
"199","THE BURNING WHITE","The fifth book in the Lightbringer series. When Chromeria is threatened, Kip Guile pulls forces together for one last fight.","by Brent Weeks","Brent Weeks","Orbit"
"200","TO THE LAND OF LONG LOST FRIENDS","The 20th book in the No. 1 Ladies’ Detective Agency Series. Precious Ramotswe’s latest case involves a preacher and a young woman.","by Alexander McCall Smith","Alexander McCall Smith","Pantheon"
"201","BLOODY GENIUS","The 12th book in the Virgil Flowers series. A fight between university departments turns deadly.","by John Sandford","John Sandford","Putnam"
"202","WHAT HAPPENS IN PARADISE","In the sequel to ""Winter in Paradise,"" Irene Steele visits the island of St. John to get to the bottom of the mysterious life and death of her husband.","by Elin Hilderbrand","Elin Hilderbrand","Little, Brown"
"203","VINCE FLYNN: LETHAL AGENT","Mexican cartels, ISIS and a possible pandemic bring Mitch Rapp back into action.","by Kyle Mills","Kyle Mills","Emily Bestler/Atria"
"204","CILKA'S JOURNEY","A 16-year-old, who sleeps with a concentration camp commandant in order to survive, is sentenced to a Siberian prison camp where she cares for the ill.","by Heather Morris","Heather Morris","St. Martin's"
"205","CHILD'S PLAY","A prestigious New York lawyer learns that the life she constructed for her children and herself isn't exactly what she thought it was.","by Danielle Steel","Danielle Steel","Delacorte"
"206","IMAGINARY FRIEND","After disappearing for six days, a boy emerges from the woods with a voice in his head that sends him on a mission.","by Stephen Chbosky","Stephen Chbosky","Grand Central"
"207","THE ORACLE","A traveler discovers mysteries hidden behind seven locked doors.","by Jonathan Cahn","Jonathan Cahn","Front Line"
"208","FULL THROTTLE","A collection of short stories including two written with Stephen King: “Throttle” and “In the Tall Grass.”","by Joe Hill","Joe Hill","Morrow"
"209","A MRS. MIRACLE CHRISTMAS","A visitor helps the McCullough family beyond expectation during the holiday season.","by Debbie Macomber","Debbie Macomber","Ballantine"
"210","THE GIRL WHO LIVED TWICE","Mikael Blomkvist helps Lisbeth Salander put her past behind her in the latest installment of Stieg Larsson's Millennium series.","by David Lagercrantz","David Lagercrantz","Knopf"
"211","RED AT THE BONE","The long-lasting decisions young people make are explored through the history of a Brooklyn teenager’s family.","by Jacqueline Woodson","Jacqueline Woodson","Riverhead"
"212","THE SECRETS WE KEPT","During the Cold War, members of the C.I.A.’s typing pool aid its mission to smuggle the banned book “Doctor Zhivago” behind the Iron Curtain.","by Lara Prescott","Lara Prescott","Knopf"
"213","KILLER INSTINCT","The second book in the Instinct series. When an act of terror strikes New York, Dr. Reinhart and Detective Needham go after a sociopath.","by James Patterson and Howard Roughan","James Patterson and Howard Roughan","Little, Brown"
"214","THE NICKEL BOYS","Two boys respond to horrors at a Jim Crow-era reform school in ways that impact them decades later.","by Colson Whitehead","Colson Whitehead","Doubleday"
"215","THE WORLD THAT WE KNEW","A rabbi’s daughter creates a mystical Jewish creature that is sworn to protect a 12-year-old girl in World War II Europe.","by Alice Hoffman","Alice Hoffman","Simon & Schuster"
"216","THE TITANIC SECRET","The 11th book in the Isaac Bell series. Dirk Pitt finds a document that brings a mystery from 1911 back to life.","by Clive Cussler and Jack Du Brul","Clive Cussler and Jack Du Brul","Putnam"
"217","A BETTER MAN","The 15th book in the Chief Inspector Gamache series. The search for a missing girl is imperiled by rising floodwaters across the province.","by Louise Penny","Louise Penny","Minotaur"
"218","LAND OF WOLVES","The 15th book in the Longmire series. Back from Mexico, Sheriff Longmire must deal with a wolf and a killer on the loose.","by Craig Johnson","Craig Johnson","Viking"
"219","VENDETTA IN DEATH","The 49th book of the In Death series. Eve Dallas looks into the misdeeds of a wealthy businessman while a vigilante named Lady Justice uses disguises to avenge women who were wronged.","by J.D. Robb","JD Robb","St. Martin's"
"220","THIS TENDER LAND","Four orphans escape a Minnesota school and encounter a cross-section of different people struggling during the Great Depression.","by William Kent Krueger","William Kent Krueger","Atria"
"221","A LITTLE HATRED","The Age of Madness series opens with a war erupting during a time of change.","by Joe Abercrombie","Joe Abercrombie","Orbit"
"222","THE DARK SIDE","Painful childhood memories surface for Zoe Morgan when she has a child of her own.","by Danielle Steel","Danielle Steel","Delacorte"
"223","ONE GOOD DEED","A World War II veteran on parole must find the real killer in a small town or face going back to jail.","by David Baldacci","David Baldacci","Grand Central"
"224","QUICHOTTE","While contending with a midlife crisis, a writer of spy thrillers creates a Don Quixote-esque character who goes on a quest to prove himself worthy of a TV star.","by Salman Rushdie","Salman Rushdie","Random House"
"225","THE INN","A former Boston police detective who is now an innkeeper must shield a seaside town from a crew of criminals.","by James Patterson with Candice Fox","James Patterson with Candice Fox","Little, Brown"
"226","THE TURN OF THE KEY","A nanny working in a technology-laden house in Scotland goes to jail when one of the children dies.","by Ruth Ware","Ruth Ware","Scout"
"227","DARK ILLUSION","The 33rd book in the Carpathian series. A mage and an ancient warrior must stop a threat against all Carpathians.","by Christine Feehan","Christine Feehan","Berkley"
